id,artisti
http://www.wikidata.org/entity/Q3821139,Giovanni Fattori (maschio)
http://www.wikidata.org/entity/Q3821405,Gerolamo Induno (maschio)
http://www.wikidata.org/entity/Q3823990,Telemaco Signorini (maschio)
http://www.wikidata.org/entity/Q3831651,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3834971,Dosso Dossi (maschio)
http://www.wikidata.org/entity/Q3842412,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3842413,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3842424,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q3842438,Filippo Lippi (maschio)
http://www.wikidata.org/entity/Q3842439,Alonso Berruguete (maschio)
http://www.wikidata.org/entity/Q3842472,Filippo Lippi (maschio)
http://www.wikidata.org/entity/Q3842484,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3842522,Pontormo (maschio)
http://www.wikidata.org/entity/Q3842521,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3842530,Ludovico Mazzolino (maschio)
http://www.wikidata.org/entity/Q3842533,Vincenzo Foppa (maschio)
http://www.wikidata.org/entity/Q3842543,Maestro del Bigallo (maschio)
http://www.wikidata.org/entity/Q3842575,Jacopo Palma il Vecchio (maschio)
http://www.wikidata.org/entity/Q3842577,Luca Signorelli (maschio)
http://www.wikidata.org/entity/Q3842594,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3842673,Pinturicchio (maschio)
http://www.wikidata.org/entity/Q3842700,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3842706,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q3842713,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q3842725,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q119157243,
http://www.wikidata.org/entity/Q119406125,
http://www.wikidata.org/entity/Q3862624,Nanni di Bartolo (maschio); Pisanello (maschio)
http://www.wikidata.org/entity/Q3863247,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3873244,Maestro dell'Osservanza (maschio)
http://www.wikidata.org/entity/Q3877894,Michelangelo Buonarroti (maschio)
http://www.wikidata.org/entity/Q3879242,Giorgione (maschio)
http://www.wikidata.org/entity/Q3884948,Vittore Carpaccio (maschio)
http://www.wikidata.org/entity/Q3885620,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q120509133,
http://www.wikidata.org/entity/Q120509521,
http://www.wikidata.org/entity/Q120509789,
http://www.wikidata.org/entity/Q3889195,Gerolamo Giovenone (maschio)
http://www.wikidata.org/entity/Q3889203,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3889211,Maestro della Pala Sforzesca (maschio)
http://www.wikidata.org/entity/Q3889220,Giusto di Gand (maschio)
http://www.wikidata.org/entity/Q3889247,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3889254,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3889253,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q120763322,
http://www.wikidata.org/entity/Q120822987,
http://www.wikidata.org/entity/Q120900571,
http://www.wikidata.org/entity/Q120903815,
http://www.wikidata.org/entity/Q120968113,
http://www.wikidata.org/entity/Q120968282,
http://www.wikidata.org/entity/Q120968550,
http://www.wikidata.org/entity/Q120968767,
http://www.wikidata.org/entity/Q120968914,
http://www.wikidata.org/entity/Q3904392,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3907497,Luca Signorelli (maschio)
http://www.wikidata.org/entity/Q3908184,Gentile da Fabriano (maschio)
http://www.wikidata.org/entity/Q3910087,Giovanni Bellini (maschio); Gentile Bellini (maschio)
http://www.wikidata.org/entity/Q3921705,Francesco Filippini (maschio)
http://www.wikidata.org/entity/Q3921912,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q3924389,Giorgione (maschio)
http://www.wikidata.org/entity/Q121678655,
http://www.wikidata.org/entity/Q3925592,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q121780997,
http://www.wikidata.org/entity/Q3937080,Umberto Boccioni (maschio)
http://www.wikidata.org/entity/Q3937502,Pontormo (maschio)
http://www.wikidata.org/entity/Q3937511,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3937547,Peter Paul Rubens (maschio)
http://www.wikidata.org/entity/Q3937553,Tiziano Vecellio (maschio)
