id,altezza
http://www.wikidata.org/entity/Q3947504,132
http://www.wikidata.org/entity/Q3947687,325
http://www.wikidata.org/entity/Q3947723,335
http://www.wikidata.org/entity/Q3947812,306
http://www.wikidata.org/entity/Q3948701,136
http://www.wikidata.org/entity/Q3954057,133
http://www.wikidata.org/entity/Q3967206,395
http://www.wikidata.org/entity/Q123036459,
http://www.wikidata.org/entity/Q3973584,281
http://www.wikidata.org/entity/Q3979950,260
http://www.wikidata.org/entity/Q3979952,228
http://www.wikidata.org/entity/Q3979961,307
http://www.wikidata.org/entity/Q123416461,
http://www.wikidata.org/entity/Q123416548,
http://www.wikidata.org/entity/Q123416954,
http://www.wikidata.org/entity/Q123416994,
http://www.wikidata.org/entity/Q123417018,
http://www.wikidata.org/entity/Q123418628,
http://www.wikidata.org/entity/Q123419057,
http://www.wikidata.org/entity/Q123419096,
http://www.wikidata.org/entity/Q123419116,
http://www.wikidata.org/entity/Q123419237,
http://www.wikidata.org/entity/Q123419285,
http://www.wikidata.org/entity/Q123419324,
http://www.wikidata.org/entity/Q123419384,
http://www.wikidata.org/entity/Q123419421,
http://www.wikidata.org/entity/Q3981174,132
http://www.wikidata.org/entity/Q3982379,610
http://www.wikidata.org/entity/Q3983114,168
http://www.wikidata.org/entity/Q3984830,118
http://www.wikidata.org/entity/Q3985169,40
http://www.wikidata.org/entity/Q3985186,250
http://www.wikidata.org/entity/Q3985472,137
http://www.wikidata.org/entity/Q3992111,96
http://www.wikidata.org/entity/Q3997723,115
http://www.wikidata.org/entity/Q3998940,560
http://www.wikidata.org/entity/Q3999094,210
http://www.wikidata.org/entity/Q3999095,184
http://www.wikidata.org/entity/Q4006302,123.6
http://www.wikidata.org/entity/Q124256182,
http://www.wikidata.org/entity/Q124287594,
http://www.wikidata.org/entity/Q4010476,560
http://www.wikidata.org/entity/Q4010941,407
http://www.wikidata.org/entity/Q4014547,57.3
http://www.wikidata.org/entity/Q4015932,141
http://www.wikidata.org/entity/Q4015931,364
http://www.wikidata.org/entity/Q124627974,
http://www.wikidata.org/entity/Q125189520,
http://www.wikidata.org/entity/Q125774997,
http://www.wikidata.org/entity/Q125775011,
http://www.wikidata.org/entity/Q125775038,
http://www.wikidata.org/entity/Q125775039,
http://www.wikidata.org/entity/Q125775114,
http://www.wikidata.org/entity/Q125775115,
http://www.wikidata.org/entity/Q125775113,
http://www.wikidata.org/entity/Q125775116,
http://www.wikidata.org/entity/Q125794511,
http://www.wikidata.org/entity/Q125809444,
http://www.wikidata.org/entity/Q126127358,
http://www.wikidata.org/entity/Q126208372,
http://www.wikidata.org/entity/Q126208398,
http://www.wikidata.org/entity/Q126208411,
http://www.wikidata.org/entity/Q126215082,
http://www.wikidata.org/entity/Q126260153,
http://www.wikidata.org/entity/Q126284178,
http://www.wikidata.org/entity/Q126329804,
http://www.wikidata.org/entity/Q126331546,
http://www.wikidata.org/entity/Q126331548,
http://www.wikidata.org/entity/Q126368575,
http://www.wikidata.org/entity/Q126371885,
http://www.wikidata.org/entity/Q126456502,
http://www.wikidata.org/entity/Q126456503,
http://www.wikidata.org/entity/Q126456506,
http://www.wikidata.org/entity/Q126456507,
http://www.wikidata.org/entity/Q126456505,
http://www.wikidata.org/entity/Q126456508,
http://www.wikidata.org/entity/Q126456514,
http://www.wikidata.org/entity/Q126456515,
http://www.wikidata.org/entity/Q126456516,
http://www.wikidata.org/entity/Q126456517,
